ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_anomaly,covid_anomaly_lower,covid_anomaly_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,occ_code,occ_title,year,actual
2021-07-01,3547053.9573660954,3226100.737997996,3890311.047253928,3547053.9573660954,3547053.9573660954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3547053.9573660954,35-3023,Fast Food and Counter Workers,2021,3095120.0
2022-07-01,3451397.8834610055,3100670.8875795715,3813741.59538998,3451397.8834610055,3451397.8834610055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451397.8834610055,35-3023,Fast Food and Counter Workers,2022,3325050.0
2023-07-01,3355741.836128583,2994793.889430322,3704690.837443184,3355741.836128583,3355741.836128583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3355741.836128583,35-3023,Fast Food and Counter Workers,2023,3676580.0
2024-07-01,3259823.717433606,2923052.7254847297,3594451.365172166,3259822.968004687,3259824.3194244225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259823.717433606,35-3023,Fast Food and Counter Workers,2024,3780930.0
2025-07-01,3164167.6701011835,2792434.449680093,3520814.2845800715,3164165.3632614682,3164169.7585042063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3164167.6701011835,35-3023,Fast Food and Counter Workers,2025,3854050.0
2026-07-01,3068511.6227687607,2710217.0584879695,3416778.847063221,3068507.1122364653,3068515.769495981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068511.6227687607,35-3023,Fast Food and Counter Workers,2026,
2027-07-01,2972855.5754363383,2603340.165647175,3314244.24377841,2972848.0327307917,2972862.390247031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2972855.5754363383,35-3023,Fast Food and Counter Workers,2027,
2018-07-01,2248564.3344117003,2185018.559507382,2317955.5906004477,2248564.3344117003,2248564.3344117003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2248564.3344117003,11-1021,General and Operations Managers,2018,2289770.0
2019-07-01,2463028.586555931,2393522.1225648755,2533033.129350146,2463028.586555931,2463028.586555931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463028.586555931,11-1021,General and Operations Managers,2019,2400280.0
2020-07-01,2736715.868191473,2274907.991844215,2418667.8217853787,2736715.868191473,2736715.868191473,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,-389235.36712500005,0.0,0.0,0.0,2347480.5010664733,11-1021,General and Operations Managers,2020,2347420.0
2021-07-01,3009655.454012508,2947920.516873496,3076280.3600576064,3009655.454012508,3009655.454012508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009655.454012508,11-1021,General and Operations Managers,2021,2984920.0
2022-07-01,3282595.037203666,3217344.105274719,3349327.090759284,3282595.037203666,3282595.037203666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3282595.037203666,11-1021,General and Operations Managers,2022,3376680.0
2023-07-01,3555534.620394824,3491597.8454838805,3626910.0347568314,3555534.620394824,3555534.620394824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3555534.620394824,11-1021,General and Operations Managers,2023,3507810.0
2024-07-01,3829221.983265957,3753089.8629525667,3894654.381076108,3821167.3022043835,3840652.4818191063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3829221.983265957,11-1021,General and Operations Managers,2024,3584420.0
2025-07-01,4102161.566457115,4025710.883839864,4183423.893153959,4068991.22815104,4144041.587559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4102161.566457115,11-1021,General and Operations Managers,2025,3503020.0
2026-07-01,4375101.149648272,4272571.985221936,4460677.642609015,4305676.603345424,4451419.854940878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375101.149648272,11-1021,General and Operations Managers,2026,
2027-07-01,4648040.73283943,4522531.915147461,4776314.43210868,4539191.965175828,4760104.298027918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648040.73283943,11-1021,General and Operations Managers,2027,
2018-07-01,2952257.6627347,2937617.247497393,2967540.8049510396,2952257.6627347,2952257.6627347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952257.6627347,29-1141,Registered Nurses,2018,2951960.0
2019-07-01,2980561.8210559245,2963219.108516853,2996658.6500126165,2980561.8210559245,2980561.8210559245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2980561.8210559245,29-1141,Registered Nurses,2019,2982280.0
2020-07-01,3008943.526002389,2971970.317620306,3002453.539882416,3008943.526002389,3008943.526002389,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,-22376.290938689002,0.0,0.0,0.0,2986567.2350637,29-1141,Registered Nurses,2020,2986500.0
2021-07-01,3037247.6892542336,3019354.80594961,3052412.18087886,3037247.6892542336,3037247.6892542336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3037247.6892542336,29-1141,Registered Nurses,2021,3047530.0
2022-07-01,3099091.5473587955,3081842.3752671457,3115168.5456758076,3099091.5473587955,3099091.5473587955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099091.5473587955,29-1141,Registered Nurses,2022,3072700.0
2023-07-01,3160935.405463357,3144857.3136507794,3178233.507902327,3160935.405463357,3160935.405463357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160935.405463357,29-1141,Registered Nurses,2023,3175390.0
2024-07-01,3222948.6987956017,3205822.333681745,3242631.9856088916,3217183.1226751516,3229529.6519457255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3222948.6987956017,29-1141,Registered Nurses,2024,3282010.0
2025-07-01,3284792.5569001636,3262223.2537157447,3312799.700845622,3266745.641319526,3306343.3175691674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3284792.5569001636,29-1141,Registered Nurses,2025,3379720.0
2026-07-01,3346636.4150047246,3309246.7289400087,3396019.9203918334,3311714.2767150984,3390602.2562511466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3346636.4150047246,29-1141,Registered Nurses,2026,
2027-07-01,3408480.273109286,3348570.430979804,3479615.695676873,3352580.3516152543,3475643.684404724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408480.273109286,29-1141,Registered Nurses,2027,
2018-07-01,3635774.3134350004,3630021.920446468,3641185.909951354,3635774.3134350004,3635774.3134350004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3635774.3134350004,41-2011,Cashiers,2018,3635550.0
2019-07-01,3596174.9298375817,3590891.328821853,3601457.497674042,3596174.9298375817,3596174.9298375817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3596174.9298375817,41-2011,Cashiers,2019,3596630.0
2020-07-01,3455009.9835210745,3327914.164172036,3338710.639198085,3455009.9835210745,3455009.9835210745,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,-121909.66933409999,0.0,0.0,0.0,3333100.3141869744,41-2011,Cashiers,2020,3333100.0
2021-07-01,3314230.7338351007,3308987.380736129,3319384.3462831406,3314230.7338351007,3314230.7338351007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314230.7338351007,41-2011,Cashiers,2021,3318020.0
2022-07-01,3304316.807950487,3299607.2310968274,3309603.9435587293,3304316.807950487,3304316.807950487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304316.807950487,41-2011,Cashiers,2022,3296040.0
2023-07-01,3294402.8820658727,3289355.3361111186,3299332.3009717725,3294402.8820658727,3294402.8820658727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3294402.8820658727,41-2011,Cashiers,2023,3298660.0
2024-07-01,3284461.794740479,3242605.582664231,3329817.3693583477,3242806.748669009,3329700.6218617912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3284461.794740479,41-2011,Cashiers,2024,3148030.0
2025-07-01,3274547.868855865,3138272.806390152,3404378.1920729885,3133631.0240731095,3406487.5561522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274547.868855865,41-2011,Cashiers,2025,3089410.0
2026-07-01,3264633.942971251,2992488.2175184116,3524671.6060872697,2991897.3233170817,3520886.4170656726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264633.942971251,41-2011,Cashiers,2026,
2027-07-01,3254720.017086637,2833557.15152235,3671406.3351649665,2837803.356293831,3672756.5243270053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3254720.017086637,41-2011,Cashiers,2027,
2018-07-01,2928691.507515,2874176.187852479,2985944.9568855693,2928691.507515,2928691.507515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928691.507515,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2018,2893180.0
2019-07-01,2884182.2936312673,2826912.223605702,2939001.9357798602,2884182.2936312673,2884182.2936312673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2884182.2936312673,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2019,2953170.0
2020-07-01,2839237.7367718155,2748061.045014218,2861163.8248258997,2839237.7367718155,2839237.7367718155,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,-34037.2358686,0.0,0.0,0.0,2805200.5009032153,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2020,2805200.0
2021-07-01,2794415.985692693,2744705.5058247205,2854065.0100728944,2794415.985692693,2794415.985692693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2794415.985692693,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2021,2729010.0
2022-07-01,2901603.6947351093,2847618.4373755604,2961691.7177390317,2901603.6947351093,2901603.6947351093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901603.6947351093,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2022,2934050.0
2023-07-01,3008791.4037775253,2954438.87584582,3062388.5566543927,3008791.4037775253,3008791.4037775253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008791.4037775253,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2023,3008300.0
2024-07-01,3116272.7777762227,3053353.5599749866,3177730.5914763287,3089407.0207094434,3142348.3288106984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3116272.7777762227,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2024,2982530.0
2025-07-01,3223460.486818639,3123617.61240391,3329153.4990405524,3142011.829422453,3305190.6746202456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3223460.486818639,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2025,2950280.0
2026-07-01,3330648.1958610555,3138602.3271182966,3497484.6170074437,3158077.03359835,3483157.5222530956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330648.1958610555,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2026,
2027-07-01,3437835.904903472,3166598.610745371,3698098.5539544965,3150806.747133033,3690457.177978067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437835.904903472,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2027,
2019-07-01,2127872.500164,2037170.62010369,2208396.000382516,2127872.500164,2127872.500164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127872.500164,53-7065,Stockers and Order Fillers,2019,2135850.0
2020-07-01,2327199.8424299774,2122545.5922201937,2303490.647298632,2327199.8424299774,2327199.8424299774,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,-116270.33262288,0.0,0.0,0.0,2210929.5098070973,53-7065,Stockers and Order Fillers,2020,2210960.0
2021-07-01,2525982.5756440666,2438460.4992062915,2612945.877010898,2525982.5756440666,2525982.5756440666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525982.5756440666,53-7065,Stockers and Order Fillers,2021,2451430.0
2022-07-01,2724765.3114145594,2641337.5945727997,2807186.7411122103,2724765.3114145594,2724765.3114145594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724765.3114145594,53-7065,Stockers and Order Fillers,2022,2842060.0
2023-07-01,2923371.5806138474,2835538.662066075,3010516.241759473,2923371.5806138474,2923371.5806138474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923371.5806138474,53-7065,Stockers and Order Fillers,2023,2872680.0
2024-07-01,3122521.9765780643,3038597.6427742946,3200785.822081831,3122485.2327210205,3122570.581258896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3122521.9765780643,53-7065,Stockers and Order Fillers,2024,2779530.0
2025-07-01,3321128.245777352,3238217.627347874,3403385.6465230514,3321004.0675804345,3321260.5818398152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321128.245777352,53-7065,Stockers and Order Fillers,2025,2833810.0
2026-07-01,3519734.5149766393,3433820.5185526204,3595835.9155752496,3519487.110231692,3519985.1479534716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519734.5149766393,53-7065,Stockers and Order Fillers,2026,
2027-07-01,3718340.7841759278,3636137.1912512043,3802489.2751520323,3717962.920985687,3718724.4418208343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3718340.7841759278,53-7065,Stockers and Order Fillers,2027,
2018-07-01,2878676.0568399997,2850706.941844301,2904319.2759188013,2878676.0568399997,2878676.0568399997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2878676.0568399997,43-4051,Customer Service Representatives,2018,2871400.0
2019-07-01,2904675.4527125084,2882570.843153501,2929957.122129774,2904675.4527125084,2904675.4527125084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904675.4527125084,43-4051,Customer Service Representatives,2019,2919230.0
2020-07-01,2860156.2709101103,2805447.9204186318,2857310.3327723006,2860156.2709101103,2860156.2709101103,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,-26905.605545247003,0.0,0.0,0.0,2833250.6653648634,43-4051,Customer Service Representatives,2020,2833250.0
2021-07-01,2815758.7279491965,2789530.842471055,2843403.263624165,2815758.7279491965,2815758.7279491965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815758.7279491965,43-4051,Customer Service Representatives,2021,2787070.0
2022-07-01,2844297.404260906,2821673.330876119,2869934.577193797,2844297.404260906,2844297.404260906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2844297.404260906,43-4051,Customer Service Representatives,2022,2879840.0
2023-07-01,2872836.0805726154,2845882.774538345,2900945.439348207,2872836.0805726154,2872836.0805726154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2872836.0805726154,43-4051,Customer Service Representatives,2023,2858710.0
2024-07-01,2901452.945038604,2866560.0285968278,2937684.3303976846,2878922.255347453,2922501.4804132483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901452.945038604,43-4051,Customer Service Representatives,2024,2725930.0
2025-07-01,2929991.6213503135,2841832.99043239,3013432.705452813,2847037.8003099393,3010423.681508736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929991.6213503135,43-4051,Customer Service Representatives,2025,2595750.0
2026-07-01,2958530.297662023,2798190.0963381208,3113109.2330835965,2794244.2293371176,3118854.2417025412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2958530.297662023,43-4051,Customer Service Representatives,2026,
2027-07-01,2987068.9739737324,2718909.8127946127,3258862.2064868994,2717006.2919154535,3259608.07991892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2987068.9739737324,43-4051,Customer Service Representatives,2027,
2018-07-01,2973680.367532,2965301.4096024884,2982071.314144651,2973680.367532,2973680.367532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973680.367532,43-9061,"Office Clerks, General",2018,2972930.0
2019-07-01,2954556.5854382906,2946332.6669795588,2963662.4929111456,2954556.5854382906,2954556.5854382906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954556.5854382906,43-9061,"Office Clerks, General",2019,2956060.0
2020-07-01,2763287.659011388,2779791.174717885,2796233.9089188725,2763287.659011388,2763287.659011388,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,24802.233084407002,0.0,0.0,0.0,2788089.8920957954,43-9061,"Office Clerks, General",2020,2788090.0
2021-07-01,2572541.3251973256,2564689.9962993492,2580813.597968401,2572541.3251973256,2572541.3251973256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2572541.3251973256,43-9061,"Office Clerks, General",2021,2578180.0
2022-07-01,2530884.9128473713,2522493.5888756798,2538636.9823765866,2530884.9128473713,2530884.9128473713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530884.9128473713,43-9061,"Office Clerks, General",2022,2517350.0
2023-07-01,2489228.5004974166,2480287.522876331,2497746.838773566,2489228.5004974166,2489228.5004974166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2489228.5004974166,43-9061,"Office Clerks, General",2023,2496370.0
2024-07-01,2447457.960990339,2394910.146388026,2507176.4432474943,2395293.542153262,2508459.6845940766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447457.960990339,43-9061,"Office Clerks, General",2024,2510550.0
2025-07-01,2405801.548640385,2237292.099009434,2608781.173148476,2238946.9573195702,2607131.0110429074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405801.548640385,43-9061,"Office Clerks, General",2025,2464940.0
2026-07-01,2364145.13629043,2013277.5021424324,2757036.4127986426,2007751.3073318517,2758538.046672537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2364145.13629043,43-9061,"Office Clerks, General",2026,
2027-07-01,2322488.7239404763,1754982.672389937,3004482.8124125986,1751900.022356703,3003634.3183287173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2322488.7239404763,43-9061,"Office Clerks, General",2027,
2018-07-01,2533241.5333784,2264898.65965631,2774142.7821068917,2533241.5333784,2533241.5333784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533241.5333784,35-3031,Waiters and Waitresses,2018,2582410.0
2019-07-01,2430228.1287440495,2165510.126639382,2675573.502464075,2430228.1287440495,2430228.1287440495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2430228.1287440495,35-3031,Waiters and Waitresses,2019,2579020.0
2020-07-01,2326932.4891166273,1691451.5820276632,2198055.742700051,2326932.4891166273,2326932.4891166273,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,-382752.18221510004,0.0,0.0,0.0,1944180.306901527,35-3031,Waiters and Waitresses,2020,1944240.0
2021-07-01,2223919.089295071,1952391.1026620257,2463291.620573777,2223919.089295071,2223919.089295071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2223919.089295071,35-3031,Waiters and Waitresses,2021,1804030.0
2022-07-01,2120915.972478585,1878534.0903931595,2386986.479107585,2120915.972478585,2120915.972478585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120915.972478585,35-3031,Waiters and Waitresses,2022,2122210.0
2023-07-01,2017912.8556620989,1784038.346960605,2294657.4616908645,2017912.8556620989,2017912.8556620989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017912.8556620989,35-3031,Waiters and Waitresses,2023,2237850.0
2024-07-01,1914627.5385255674,1683224.2347042994,2183942.1952291527,1914626.00179067,1914629.3980363177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914627.5385255674,35-3031,Waiters and Waitresses,2024,2302690.0
2025-07-01,1811624.421709081,1519928.9205746404,2073210.8097992495,1811618.253377713,1811630.0921220921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811624.421709081,35-3031,Waiters and Waitresses,2025,2270910.0
2026-07-01,1708621.304892595,1433196.7198013486,1962761.7701777616,1708609.3709311152,1708632.6953574347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1708621.304892595,35-3031,Waiters and Waitresses,2026,
2027-07-01,1605618.1880761087,1328971.4141609035,1881224.0038040772,1605600.1174278317,1605638.092635683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605618.1880761087,35-3031,Waiters and Waitresses,2027,
2018-07-01,2162137.8702,2142991.998586837,2183719.655477903,2162137.8702,2162137.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162137.8702,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2018,2156270.0
2019-07-01,2133728.6068156627,2114849.5027555167,2154483.8678191733,2133728.6068156627,2133728.6068156627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133728.6068156627,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2019,2145450.0
2020-07-01,2096318.613725964,1969010.3573699102,2011460.492650546,2096318.613725964,2096318.613725964,-105821.280125,-105821.280125,-105821.280125,-105821.280125,-105821.280125,-105821.280125,-105821.280125,-105821.280125,-105821.280125,0.0,0.0,0.0,1990497.333600964,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2020,1990510.0
